"ID","SexEstimate","BirthYear","MumID"
 1,, 1996,
 2,, 1999,
 3, 0, 1996,
 4,, 1996,
 5,, 1996,
 6,, 1996,
 7, 1, 1994,
 8,, 1996,
 9,, 1996,
 10,, 1996,
 11,, 1996,
 12, 1, 1987,
 13,, 1996,
 14,, 1996,
 15, 1, 1996,
 16,, 1996,
 17,, 1996,
 18,, 1996,
 19,, 1996,
 20,, 1982,
 21, 1, 1983,
 22, 1, 1983,
 23, 1, 1982,
 24, 1, 1983,
 25, 1, 1983,
 26,, 1982,
 27, 0, 1982,
 28, 1, 1983,
 29, 1, 1983,
 30, 1, 1983,
 31, 0, 1983,
 32, 0, 1983,
 33, 1, 1982,
 34, 0, 1984,
 35,, 1984,
 36, 1, 1983,
 37, 0, 1983,
 38, 1, 1984,
 39, 1, 1984,
 40, 0, 1984,
 41,, 1985,
 42, 1, 1984,
 43, 1, 1986, 2152
 44, 1, 1986,
 45,, 1987,
 46,, 1987,
 47,, 1987,
 48,, 1987,
 49,, 1987,
 50,, 1987,
 51, 1, 1987,
 52,, 1987,
 53,, 1987,
 54, 1, 1987,
 55,, 1987,
 56,, 1987,
 57,, 1987, 2206
 58,, 1987,
 59,, 1987,
 60,, 1987,
 61, 0, 1987,
 62,, 1987,
 63,, 1987,
 64, 0, 1987,
 65, 1, 1987,
 66,, 1987,
 67, 1, 1987,
 68, 1, 1987,
 69, 1, 1987,
 70,, 1987,
 71, 0, 1987,
 72,, 1987,
 73, 1, 1987,
 74, 0, 1987,
 75, 1, 1987,
 76,, 1987,
 77, 1, 1987,
 78, 0, 1987,
 79, 0, 1987,
 80,, 1987,
 81,, 1987,
 82, 0, 1987,
 83,, 1987,
 84,, 1987,
 85,, 1987,
 86,, 1987,
 87,, 1987,
 88,, 1987,
 89,, 1987, 2322
 90,, 1987,
 91,, 1985,
 92,, 1984,
 93, 0, 1984,
 94, 0, 1984,
 95,, 1985,
 96,, 1986,
 97, 1, 1986,
 98, 1, 1986,
 99, 0, 1986,
 100,, 1986,
 101,, 1986,
 102,, 1986, 2115
 103,, 1986,
 104,, 1986,
 105,, 1986,
 106,, 1986,
 107,, 1986,
 108,, 1986, 800
 109, 0, 1985,
 110,, 1986,
 111,, 1986,
 112,, 1986,
 113, 0, 1988,
 114, 0, 1988,
 115, 0, 1988,
 116, 1, 1988,
 117, 0, 1989, 224
 118, 0, 1989, 224
 119, 1, 1989, 244
 120, 0, 1989,
 121,, 1989, 242
 122, 1, 1989, 230
 123, 1, 1989, 1687
 124, 1, 1989, 1687
 125, 1, 1989, 227
 126, 0, 1989, 227
 127, 1, 1989, 227
 128,, 1989,
 129, 1, 1989, 244
 130, 1, 1989, 230
 131, 1, 1989, 224
 132, 0, 1989, 224
 133,, 1989, 235
 134,, 1989, 244
 135, 0, 1989, 244
 136,, 1989, 230
 137, 1, 1989, 239
 138,, 1989, 239
 139,, 1989, 235
 140, 1, 1989, 244
 141, 1, 1989, 224
 142, 0, 1989, 224
 143,, 1989, 227
 144, 0, 1989, 2925
 145, 1, 1990, 74
 146, 1, 1990, 74
 147, 0, 1990, 118
 148, 0, 1990, 61
 149, 0, 1990, 61
 150, 1, 1989, 61
 151,, 1990, 235
 152, 1, 1990, 235
 153, 1, 1990, 230
 154,, 1990, 117
 155, 1, 1990, 1687
 156, 0, 1990, 244
 157,, 1990, 244
 158,, 1990, 126
 159, 1, 1990, 224
 160, 0, 1988,
 161,, 1989, 64
 162,, 1989, 1921
 163, 0, 1988,
 164,, 1989,
 165, 1, 1989,
 166, 0, 1989,
 167, 0, 1989,
 168, 0, 1989,
 169, 0, 1988,
 170, 1, 1989,
 171, 0, 1989,
 172, 0, 1989,
 173, 1, 1990,
 174, 0, 1988,
 175, 0, 1990, 800
 176, 1, 1988,
 177,, 1990,
 178, 1, 1988,
 179, 0, 1990, 118
 180, 0, 1990, 242
 181, 1, 1990, 244
 182, 1, 1990,
 183, 0, 1990, 224
 184, 1, 1988,
 185, 0, 1988,
 186, 0, 1989,
 187,, 1989,
 188,, 1989,
 189, 0, 1988,
 190,, 1989,
 191, 0, 1989,
 192,, 1989,
 193,, 1989,
 194,, 1989, 2152
