"id","mum","dad","p","FPID","O_Terr"
335,"1222","1287",1,30,29
436,"500","494",1,16,29
439,"800","42",0.711,14,78
440,NA,"2843",0.712,14,3
441,NA,"2843",0.725,14,3
442,NA,"2764",0.358,14,8
443,NA,"2764",0.362,14,8
444,"464","25",1,16,36
445,"500","494",0.999,16,29
446,"233",NA,0.357,14,79
447,NA,NA,0.513,14,38
448,NA,NA,0.525,14,38
449,"207","65",1,14,40
450,"800",NA,0.532,14,78
451,"799",NA,0.453,14,29
452,"430",NA,0.549,16,47
453,NA,"51",1,14,47
454,NA,"2756",0.404,14,32
455,NA,"215",0.422,14,5
456,NA,"173",0.428,14,54
457,NA,NA,0.257,14,11
458,"171","170",0.544,14,50
459,"207","65",1,14,40
460,"462","77",0.629,16,39
461,NA,"77",0.798,14,39
462,NA,"65",1,14,39
464,NA,"216",0.916,14,36
465,NA,"77",0.794,14,39
466,"213","77",0.454,14,46
467,NA,"176",0.954,14,112
468,NA,"176",1,14,112
469,NA,"176",0.999,14,112
470,"237",NA,0.537,14,26.1
471,"237",NA,0.466,14,26.1
472,"78",NA,0.552,16,44
473,NA,"73",0.572,14,60
474,"168","73",0.577,14,60
475,"168","73",0.552,14,60
476,NA,"77",0.649,14,86
477,NA,"77",0.781,14,86
478,NA,"73",0.511,14,59
479,NA,"73",0.542,14,59
495,NA,NA,0.396,16,3.1
496,NA,"446",0.876,16,3.1
497,"443",NA,0.498,16,8
498,"189",NA,0.418,16,28
499,NA,"21",0.594,16,6
500,"799",NA,0.395,14,29
501,"594","29",1,17,18
502,"297","478",0.997,16,80
503,NA,"54",0.567,16,25
504,"2749",NA,0.563,16,19
505,"2845","75",0.949,16,75
506,"2845","75",0.92,16,75
507,"294",NA,0.334,16,23
508,NA,"331",0.989,16,84
509,"329",NA,0.428,16,80
510,"462","465",0.996,16,39
511,NA,NA,0.494,16,33
512,NA,"216",0.991,16,33
521,"628","498",0.875,17,52
522,NA,"33",0.572,16,58
523,NA,"33",0.377,16,56
524,NA,"33",0.597,16,114
525,NA,NA,0.491,16,67
526,"528","178",1,17,71
527,"64","178",1,17,71
528,"64","178",1,16,71
529,NA,NA,0.47,16,67
530,NA,NA,0.428,16,72
531,NA,"73",0.655,16,81
539,NA,"478",0.985,16,74
540,NA,"446",0.536,16,70
541,NA,"22",0.437,16,31
542,NA,"208",1,16,96
543,NA,NA,0.652,16,92
544,NA,"478",0.756,16,103.1
545,NA,NA,0.543,16,104.1
546,NA,NA,0.588,16,92
547,NA,NA,0.626,16,103
548,NA,NA,0.636,16,93
549,"82","331",0.911,16,88
550,"82","51",0.747,16,88
551,NA,NA,0.374,16,107
552,NA,"478",0.739,16,102
553,NA,NA,0.516,16,89
554,"199","221",1,16,30
555,"79",NA,0.322,16,44
556,NA,"77",0.52,16,106
557,NA,"448",0.883,16,41
558,"430","51",1,16,47
559,NA,"331",0.998,16,108
560,NA,"65",0.739,16,46
561,NA,NA,0.613,16,46
562,"1859","1686",1,16,10
563,"508","602",1,17,84
594,"189","75",0.919,16,28
595,NA,"473",0.56,16,6
596,"297","478",1,16,80
597,NA,"293",0.592,17,78
598,"800",NA,0.398,16,78
599,"297","298",1,16,80
600,"294",NA,0.334,16,23
601,"294","25",0.663,16,23
602,NA,"75",0.998,16,84
603,NA,"51",0.987,16,34
604,NA,NA,0.571,16,34
605,"213","176",0.831,16,112
606,"294",NA,0.33,16,23
607,NA,"176",0.999,16,45
608,"163","448",0.997,16,42
609,NA,NA,0.441,16,31
627,"792","494",0.606,17,51
628,NA,"42",0.327,16,52
629,NA,"298",0.976,16,56
630,NA,"438",0.386,16,53.1
631,"297","298",1,17,80
632,NA,NA,0.327,16,60
633,NA,"73",0.679,16,85
634,NA,"33",0.65,16,114
635,NA,NA,0.465,16,70
636,NA,NA,0.557,16,70
637,NA,NA,0.635,16,72
638,NA,"73",0.673,16,85
639,"543","673",0.967,17,92
640,"447","448",1,16,38
641,NA,NA,0.651,16,72
642,NA,"73",0.647,16,81
663,"213","331",0.942,16,112
664,"464","448",0.984,16,36
665,NA,"178",0.957,16,96
666,NA,NA,0.626,16,92
667,"530","637",1,17,72
668,NA,"544",1,17,103.1
669,NA,NA,0.632,16,104.1
670,"71",NA,0.59,16,101.1
671,"71","208",0.938,16,101.1
672,NA,"478",0.467,16,103.1
673,NA,"208",0.842,16,95.1
674,NA,NA,0.609,16,93
675,"82",NA,0.526,16,88
676,NA,NA,0.571,16,87
677,NA,NA,0.594,16,95.1
678,NA,"208",0.784,16,89
679,NA,"465",0.995,16,86
680,"217","331",0.611,16,78
681,NA,NA,0.461,16,107
774,NA,"525",0.869,17,82
775,NA,NA,0.666,17,82
776,"461","632",0.799,17,60
823,NA,"1686",0.443,17,8
824,NA,"633",1,17,109
825,NA,"1862",0.667,17,24
