RowRef,BirdID,Sex,SexingMethod,SexingDate,Lane,Observer,BloodID,EstimateSource,MergeRef,MergeStatus
16270,6226,,,,,,,,882819789,
14169,3628,1,DNA,22/03/2013,,EF,2882,,262677503,
13017,1591,1,DNA,08/03/2012,,DLG,276,,212397823,
13018,1597,0,DNA,08/03/2012,,DLG,279,,-1340082689,
13019,1604,1,DNA,08/03/2012,,DLG,391,,1318510847,
13020,1605,0,DNA,08/03/2012,,DLG,437,,1218322431,
13021,1607,1,DNA,08/03/2012,,DLG,388,,-1975229697,
13022,1608,1,DNA,08/03/2012,,DLG,299,,639474175,
13023,1610,1,DNA,08/03/2012,,DLG,297,,1613624575,
13024,1616,1,DNA,08/03/2012,,DLG,272,,-114760705,
13025,1616,1,DNA,08/03/2012,,DLG,417,,146020095,
13026,1617,0,DNA,08/03/2012,,DLG,461,,983465471,
13015,1570,1,DNA,08/03/2012,,DLG,394,,-842920705,
13028,1696,1,DNA,08/03/2012,,DLG,316,,-1907300353,
13014,1559,0,DNA,08/03/2012,,DLG,419,,-1193176577,
13029,1698,1,DNA,08/03/2012,,DLG,375,,-565441793,
13030,1702,1,DNA,08/03/2012,,DLG,387,,983998975,
13031,1702,1,DNA,08/03/2012,,DLG,288,,1890770175,
13032,1707,0,DNA,08/03/2012,,DLG,340,,1564093439,
13033,1711,1,DNA,08/03/2012,,DLG,389,,-1683996929,
13034,1723,1,DNA,08/03/2012,,DLG,286,,-998636033,
13035,1723,1,DNA,08/03/2012,,DLG,404,,-842485505,
13036,1725,0,DNA,08/03/2012,,DLG,382,,-1773621249,
13037,1725,0,DNA,08/03/2012,,DLG,493,,1065661183,
13038,1726,1,DNA,08/03/2012,,DLG,287,,731687423,
13039,1731,1,DNA,08/03/2012,,DLG,364,,-537869057,
13027,1685,0,DNA,08/03/2012,,DLG,323,,-1287960321,
13002,1346,0,DNA,08/03/2012,,DLG,359,,1085924863,
12989,441,0,DNA,08/03/2012,,DLG,403,,1368376063,
12990,497,1,DNA,08/03/2012,,DLG,424,,-1246004737,
12991,497,1,DNA,08/03/2012,,DLG,401,,13915391,
12992,595,0,DNA,08/03/2012,,DLG,357,,683000831,
12993,832,0,DNA,08/03/2012,,DLG,383,,1166898943,
12994,912,0,DNA,08/03/2012,,DLG,372,,563240447,
12995,1040,1,DNA,08/03/2012,,DLG,475,,635414783,
12996,1042,0,DNA,08/03/2012,,DLG,292,,-1075591169,
12997,1155,0,DNA,08/03/2012,,DLG,399,,-1391236353,
12998,1165,1,DNA,08/03/2012,,DLG,407,,-1546616321,
12999,1193,0,DNA,08/03/2012,,DLG,373,,-1263190785,
13016,1577,1,DNA,08/03/2012,,DLG,443,,-1093886977,
13001,1275,0,DNA,08/03/2012,,DLG,369,,-155869441,
13042,1739,1,DNA,08/03/2012,,DLG,360,,483560959,
13003,1356,1,DNA,08/03/2012,,DLG,446,,-1333194497,
13004,1358,1,DNA,08/03/2012,,DLG,277,,-410546177,
13005,1361,0,DNA,08/03/2012,,DLG,378,,1598558975,
13006,1415,0,DNA,08/03/2012,,DLG,380,,-1848473089,
13007,1437,0,DNA,08/03/2012,,DLG,481,,1557079295,
13008,1485,1,DNA,08/03/2012,,DLG,293,,1141199871,
13009,1494,1,DNA,08/03/2012,,DLG,448,,1709098751,
13010,1501,0,DNA,08/03/2012,,DLG,397,,1776184831,
13011,1506,0,DNA,08/03/2012,,DLG,406,,1362852095,
13012,1532,0,DNA,08/03/2012,,DLG,313,,823154687,
13013,1541,0,DNA,08/03/2012,,DLG,411,,2144189183,
13000,1244,0,DNA,08/03/2012,,DLG,349,,313723903,
